iter	Passed	Remaining
0	140	140773
1	142	71134
2	144	47898
3	145	36217
4	147	29298
5	149	24721
6	152	21602
7	153	19088
8	156	17202
9	157	15587
10	158	14276
11	160	13194
12	161	12295
13	163	11525
14	166	10939
15	167	10326
16	169	9810
17	170	9327
18	172	8893
19	174	8574
20	177	8257
21	184	8183
22	185	7880
23	186	7595
24	188	7334
25	189	7103
26	192	6929
27	196	6824
28	197	6627
29	201	6500
30	202	6337
31	204	6171
32	205	6011
33	206	5858
34	207	5712
35	211	5673
36	213	5548
37	214	5424
38	215	5304
39	216	5193
40	217	5082
41	218	4975
42	219	4874
43	219	4778
44	220	4688
45	221	4602
46	222	4520
47	224	4454
48	227	4413
49	228	4345
50	230	4280
51	231	4212
52	232	4147
53	233	4083
54	236	4069
55	238	4022
56	239	3969
57	241	3922
58	243	3881
59	245	3850
60	247	3803
61	248	3757
62	254	3789
63	256	3746
64	257	3704
65	258	3662
66	260	3621
67	261	3581
68	262	3542
69	263	3505
70	269	3523
71	270	3487
72	273	3471
73	274	3434
74	275	3397
75	276	3362
76	277	3328
77	278	3295
78	281	3281
79	284	3270
80	285	3241
81	286	3212
82	287	3177
83	288	3149
84	290	3123
85	291	3097
86	292	3071
87	293	3046
88	296	3039
89	299	3026
90	300	3002
91	301	2978
92	303	2956
93	304	2933
94	305	2911
95	306	2889
96	308	2868
97	309	2847
98	313	2848
99	319	2878
100	321	2858
101	322	2839
102	323	2820
103	325	2800
104	336	2869
105	338	2851
106	339	2832
107	340	2814
108	342	2796
109	343	2779
110	344	2761
111	346	2747
112	347	2729
113	349	2713
114	350	2696
115	351	2680
116	356	2688
117	357	2672
118	358	2656
119	360	2643
120	361	2628
121	362	2610
122	364	2595
123	365	2580
124	366	2565
125	374	2597
126	375	2582
127	377	2568
128	378	2554
129	379	2539
130	380	2524
131	381	2508
132	386	2519
133	388	2509
134	389	2496
135	391	2485
136	392	2470
137	393	2455
138	394	2441
139	395	2427
140	396	2414
141	396	2398
142	397	2384
143	403	2395
144	404	2383
145	405	2371
146	406	2359
147	407	2347
148	409	2336
149	410	2324
150	411	2314
151	413	2304
152	416	2308
153	419	2302
154	420	2292
155	421	2282
156	423	2272
157	424	2262
158	425	2253
159	427	2243
160	427	2230
161	433	2243
162	435	2235
163	436	2226
164	438	2217
165	439	2209
166	443	2213
167	445	2205
168	446	2196
169	447	2187
170	449	2179
171	450	2170
172	451	2160
173	452	2150
174	454	2141
175	456	2139
176	458	2133
177	459	2124
178	461	2115
179	462	2107
180	463	2098
181	464	2088
182	465	2078
183	466	2068
184	467	2060
185	468	2050
186	469	2041
187	473	2043
188	474	2037
189	476	2029
190	477	2021
191	478	2013
192	481	2013
193	483	2006
194	483	1997
195	484	1989
196	491	2003
197	493	1999
198	496	1996
199	497	1990
200	506	2014
201	508	2007
202	509	2000
203	510	1992
204	513	1992
205	515	1986
206	521	1996
207	523	1991
208	524	1984
209	525	1977
210	526	1970
211	528	1962
212	529	1955
213	530	1948
214	532	1944
215	534	1941
216	536	1935
217	537	1929
218	538	1922
219	540	1915
220	541	1908
221	542	1902
222	543	1895
223	545	1888
224	546	1882
225	549	1881
226	551	1877
227	552	1871
228	554	1867
229	555	1861
230	557	1855
231	558	1848
232	559	1842
233	561	1838
234	567	1848
235	570	1847
236	571	1841
237	573	1836
238	574	1830
239	576	1824
240	577	1818
241	580	1819
242	583	1818
243	585	1813
244	586	1807
245	587	1800
246	588	1794
247	589	1787
248	590	1780
249	591	1773
250	592	1767
251	596	1770
252	599	1769
253	600	1763
254	601	1756
255	602	1749
256	602	1742
257	603	1736
258	604	1729
259	605	1723
260	606	1717
261	607	1711
262	612	1716
263	613	1711
264	615	1705
265	616	1700
266	617	1695
267	618	1689
268	619	1683
269	620	1677
270	621	1672
271	624	1672
272	626	1669
273	628	1664
274	629	1659
275	630	1654
276	632	1650
277	633	1645
278	634	1639
279	635	1634
280	636	1628
281	637	1623
282	641	1625
283	642	1620
284	643	1615
285	644	1610
286	645	1604
287	647	1599
288	648	1594
289	649	1589
290	649	1583
291	650	1578
292	651	1572
293	652	1567
294	655	1565
295	656	1561
296	657	1556
297	658	1551
298	659	1546
299	660	1540
300	661	1535
301	662	1530
302	662	1525
303	663	1519
304	664	1514
305	665	1509
306	666	1505
307	667	1500
308	671	1501
309	672	1497
310	674	1493
311	675	1489
312	676	1484
313	677	1479
314	678	1475
315	679	1470
316	680	1465
317	681	1460
318	682	1456
319	685	1455
320	687	1453
321	688	1449
322	689	1445
323	692	1443
324	693	1439
325	694	1435
326	695	1430
327	696	1426
328	697	1421
329	698	1417
330	700	1415
331	701	1412
332	703	1408
333	704	1404
334	705	1400
335	706	1395
336	707	1391
337	708	1387
338	709	1382
339	710	1378
340	711	1374
341	713	1371
342	716	1372
343	717	1368
344	719	1365
345	720	1361
346	722	1359
347	723	1355
348	724	1350
349	725	1347
350	726	1342
351	727	1338
352	728	1334
353	730	1333
354	732	1330
355	733	1326
356	734	1322
357	735	1318
358	736	1314
359	737	1310
360	737	1306
361	738	1302
362	739	1298
363	741	1294
364	742	1290
365	743	1287
366	744	1284
367	746	1281
368	747	1277
369	747	1273
